PAIS,CONTINENTE,EXP_TOTAL,IMP_TOTAL,BALANCE_PROM,EXP_PROM,IMP_PROM,TC_PROM,N_MESES,CLUSTER
Paraguay,América del Sur,2225688000,1653047000,1453403.5532994925,5648954.314720812,4195550.76142132,12.95999035532995,394,0
Países Bajos,Europa,46650810000,60336536000,-34735345.17766497,118403071.06598985,153138416.24365482,12.95999035532995,394,0
Perú,América del Sur,28659380000,16240688000,31519522.842639595,72739543.14720812,41220020.30456853,12.95999035532995,394,0
Polinesia francés,Oceanía,13743000,3323000,26446.700507614212,34880.710659898476,8434.010152284263,12.95999035532995,394,0
Polonia,Europa,5338123000,24879668000,-49597829.949238576,13548535.532994924,63146365.4822335,12.95999035532995,394,0
Portugal,Europa,4491825000,11539155000,-17886624.365482233,11400571.065989848,29287195.43147208,12.95999035532995,394,0
Puerto Rico,América del Norte,12827434000,12499407000,832555.8375634517,32556939.086294416,31724383.248730965,12.95999035532995,394,0
Reino Unido,Europa,53819087000,60015922000,-15728007.614213198,136596667.51269037,152324675.12690356,12.95999035532995,394,0
República Centroafricana,África,19809000,20280000,-1195.4314720812183,50276.649746192896,51472.081218274114,12.95999035532995,394,0
República Dominicana,América del Norte,19840234000,3783770000,40752446.70050761,50355923.85786802,9603477.157360407,12.95999035532995,394,0
Ruanda,África,9474000,46235000,-93302.0304568528,24045.685279187815,117347.71573604061,12.95999035532995,394,0
Rumania,Europa,1874955000,7888917000,-15263862.944162436,4758769.035532995,20022631.979695432,12.95999035532995,394,0
Rusia,Europa,5153180000,29078295000,-60723642.1319797,13079137.055837564,73802779.18781726,12.95999035532995,394,0
Réunion,África,8298000,10009000,-4342.63959390863,21060.913705583756,25403.553299492385,12.95999035532995,394,0
S/N,S/N,4394547000,3760506000,1609241.116751269,11153672.588832486,9544431.472081218,12.95999035532995,394,0
Sahara Occidental,África,550000,8142000,-19269.035532994923,1395.9390862944163,20664.97461928934,12.95999035532995,394,0
Saint Kitts y Nevis,América del Norte,59544000,28181000,79601.52284263959,151126.9035532995,71525.3807106599,12.95999035532995,394,0
Samoa,Oceanía,9948000,44665000,-88114.21319796954,25248.730964467006,113362.94416243654,12.95999035532995,394,0
San Marino,Europa,1306000,42618000,-104852.79187817259,3314.720812182741,108167.51269035533,12.95999035532995,394,0
San Pedro y Miquelón,América del Norte,61000,882000,-2083.756345177665,154.8223350253807,2238.5786802030457,12.95999035532995,394,0
San Vicente y las Granadinas,América del Norte,32950000,2521000,77230.96446700508,83629.44162436549,6398.477157360406,12.95999035532995,394,0
Santa Elena,África,170000,8017000,-19916.243654822334,431.4720812182741,20347.71573604061,12.95999035532995,394,0
Santa Lucía,América del Norte,79451000,9711000,177005.076142132,201652.2842639594,24647.20812182741,12.95999035532995,394,0
Santo Tomé y Príncipe,África,5312000,5105000,525.3807106598985,13482.23350253807,12956.852791878173,12.95999035532995,394,0
Senegal,África,60162000,346329000,-726312.1827411167,152695.43147208123,879007.614213198,12.95999035532995,394,0
Serbia,Europa,84878000,795702000,-1804121.8274111676,215426.3959390863,2019548.223350254,12.95999035532995,394,0
Seychelles,África,3406000,48657000,-114850.2538071066,8644.67005076142,123494.92385786802,12.95999035532995,394,0
Sierra Leona,África,14611000,144388000,-329383.2487309645,37083.756345177666,366467.00507614214,12.95999035532995,394,0
Singapur,Asia,18914026000,46795788000,-70765893.40101522,48005142.1319797,118771035.53299493,12.95999035532995,394,0
Siria,Asia,152430000,69789000,209748.73096446702,386878.1725888325,177129.44162436549,12.95999035532995,394,0
Somalia,África,4762000,3044000,4360.406091370558,12086.294416243654,7725.888324873096,12.95999035532995,394,0
Sri Lanka,Asia,141428000,4092572000,-10028284.263959391,358954.3147208122,10387238.578680202,12.95999035532995,394,0
Sudáfrica,África,4887618000,11593707000,-17020530.456852794,12405121.827411167,29425652.28426396,12.95999035532995,394,0
Sudán,África,49738000,251432000,-511913.7055837563,126238.57868020305,638152.2842639594,12.95999035532995,394,0
Suecia,Europa,2757662000,29425405000,-67684626.90355329,6999142.1319796955,74683769.035533,12.95999035532995,394,0
Suiza,Europa,24766846000,42746915000,-45634692.89340101,62860015.2284264,108494708.12182741,12.95999035532995,394,0
Suriname,América del Sur,288387000,29955000,655918.7817258884,731946.7005076142,76027.9187817259,12.95999035532995,394,0
Svalbard y Jan Mayen,Europa,56000,2232000,-5522.842639593909,142.13197969543148,5664.97461928934,12.95999035532995,394,0
Tailandia,Asia,7313756000,112912268000,-268016527.91878173,18562832.487309646,286579360.4060914,12.95999035532995,394,0
Taiwán (Región),Asia,10734637000,221886764000,-535919104.0609137,27245271.573604062,563164375.6345178,12.95999035532995,394,3
Tanzania,África,78214000,68280000,25213.197969543147,198512.69035532995,173299.4923857868,12.95999035532995,394,0
Tayikistán,Asia,92937000,11280000,207251.26903553298,235880.71065989847,28629.44162436548,12.95999035532995,394,0
Territorio Británico del Océano Índico,Asia,271000,2213000,-4928.934010152284,687.8172588832488,5616.751269035533,12.95999035532995,394,0
Timor Oriental,Asia,320000,1532000,-3076.1421319796955,812.1827411167512,3888.3248730964465,12.95999035532995,394,0
Togo,África,43378000,18588000,62918.78172588832,110096.44670050761,47177.66497461929,12.95999035532995,394,0
Tokelau,Oceanía,5000,10669000,-27065.989847715737,12.690355329949238,27078.680203045686,12.95999035532995,394,0
Tonga,Oceanía,2804000,284000,6395.9390862944165,7116.751269035533,720.8121827411168,12.95999035532995,394,0
Trinidad y Tobago,América del Norte,2248338000,7766403000,-14005241.116751269,5706441.6243654825,19711682.74111675,12.95999035532995,394,0
Turcas y Caicos,América del Norte,70183000,4332000,167134.51776649748,178129.44162436549,10994.92385786802,12.95999035532995,394,0
Turkmenistán,Asia,61148000,108719000,-120738.57868020305,155197.96954314722,275936.54822335026,12.95999035532995,394,0
Turquía,Asia,5141378000,18092658000,-32871269.035532996,13049182.741116751,45920451.77664974,12.95999035532995,394,0
Tuvalu,Oceanía,29000,1521000,-3786.8020304568527,73.60406091370558,3860.4060913705584,12.95999035532995,394,0
Túnez,África,501751000,1135983000,-1609725.888324873,1273479.695431472,2883205.5837563453,12.95999035532995,394,0
Ucrania,Europa,523770000,5233875000,-11954581.21827411,1329365.4822335024,13283946.700507615,12.95999035532995,394,0
Uganda,África,79372000,71914000,18928.934010152283,201451.7766497462,182522.8426395939,12.95999035532995,394,0
Uruguay,América del Sur,5260703000,7758325000,-6339142.1319796955,13352038.07106599,19691180.203045685,12.95999035532995,394,0
Uzbekistán,Asia,648290000,42978000,1536324.8730964467,1645406.0913705584,109081.21827411167,12.95999035532995,394,0
Vanuatu,Oceanía,17817000,33071000,-38715.73604060914,45220.812182741116,83936.54822335026,12.95999035532995,394,0
Venezuela,América del Sur,29938038000,10947752000,48198695.43147208,75984868.02030458,27786172.588832486,12.95999035532995,394,0
Vietnam,Asia,4524736000,102564768000,-248832568.5279188,11484101.52284264,260316670.05076143,12.95999035532995,394,0
Wallis y Futuna,Oceanía,391000,943000,-1401.0152284263959,992.3857868020305,2393.4010152284263,12.95999035532995,394,0
Yemen,Asia,29844000,172974000,-363274.1116751269,75746.19289340102,439020.3045685279,12.95999035532995,394,0
Yugoslavia,Europa,5630000,47046000,-105116.75126903554,14289.340101522843,119406.09137055838,12.95999035532995,394,0
Zambia,África,38384000,16405000,55784.26395939086,97421.31979695431,41637.05583756345,12.95999035532995,394,0
Zimbabue,África,89866000,69045000,52845.17766497462,228086.29441624365,175241.11675126903,12.95999035532995,394,0
Zona del Canal de Panamá,América del Norte,33784000,24701000,23053.299492385788,85746.19289340102,62692.89340101523,12.95999035532995,394,0
